Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Zipcode
ZCTA5 30187,7918,,,3002,20,211,30187
ZCTA5 30189,38550,,,16327,122,1790,30189
ZCTA5 30236,49694,,,17387,423,766,30236
ZCTA5 30252,46286,,,17273,157,1678,30252
ZCTA5 30257,4345,,,1411,3,110,30257
ZCTA5 30258,3047,,,1144,0,8,30258
ZCTA5 30285,639,,,303,0,0,30285
ZCTA5 30312,22275,,,9234,270,1066,30312
ZCTA5 30317,13737,,,4996,208,785,30317
ZCTA5 30559,4701,,,1366,0,64,30559
ZCTA5 30568,1645,,,488,11,35,30568
ZCTA5 30572,796,,,123,0,0,30572
ZCTA5 30575,1533,,,503,0,31,30575
ZCTA5 30576,2310,,,583,0,58,30576
ZCTA5 30577,21204,,,6662,0,399,30577
ZCTA5 30625,2140,,,810,0,110,30625
ZCTA5 30629,4735,,,1503,0,72,30629
ZCTA5 30646,6506,,,2565,0,8,30646
ZCTA5 30667,954,,,377,0,15,30667
ZCTA5 30677,18337,,,7711,7,601,30677
ZCTA5 30506,44468,,,18632,1,1211,30506
ZCTA5 30507,30076,,,11031,32,181,30507
ZCTA5 30511,4009,,,1405,0,15,30511
ZCTA5 30171,3467,,,1507,23,73,30171
ZCTA5 30607,10748,,,4091,29,214,30607
ZCTA5 30601,23685,,,7599,384,378,30601
ZCTA5 30605,41451,,,14205,1092,880,30605
ZCTA5 30631,1647,,,442,0,15,30631
ZCTA5 30075,53328,,,20442,324,4044,30075
ZCTA5 30116,24161,,,8399,6,253,30116
ZCTA5 30413,1805,,,505,0,14,30413
ZCTA5 30415,6161,,,2427,91,104,30415
ZCTA5 30423,121,,,16,0,0,30423
ZCTA5 30426,782,,,218,0,0,30426
ZCTA5 30438,31,,,18,0,0,30438
ZCTA5 30446,1251,,,415,0,1,30446
ZCTA5 30470,338,,,118,0,0,30470
ZCTA5 30473,2445,,,782,14,8,30473
ZCTA5 30341,32341,,,11973,898,1132,30341
ZCTA5 30068,32613,,,12579,9,2108,30068
ZCTA5 30188,63171,,,26549,123,3140,30188
ZCTA5 30295,4352,,,1607,0,52,30295
ZCTA5 30062,66053,,,24955,44,3573,30062
ZCTA5 28338,4663,,,1576,0,90,28338
ZCTA5 28078,60107,,,24884,526,2932,28078
