Name,Population,Population II,Male Population,Drive to Work - Solo Driver,Public Transportation,Work from Home,Median Income,Zipcode
ZCTA5 70079,2917.0,,,1361.0,0.0,73.0,33833.0,70079
ZCTA5 70083,2564.0,,,592.0,0.0,0.0,18255.0,70083
ZCTA5 70087,7665.0,,,3017.0,61.0,179.0,25374.0,70087
ZCTA5 70128,19500.0,,,6434.0,395.0,81.0,26561.0,70128
ZCTA5 70373,7122.0,,,2185.0,0.0,221.0,25330.0,70373
ZCTA5 70374,6863.0,,,2445.0,0.0,68.0,28510.0,70374
ZCTA5 70375,85.0,,,54.0,0.0,0.0,23611.0,70375
ZCTA5 70436,689.0,,,165.0,0.0,0.0,16603.0,70436
ZCTA5 70444,10223.0,,,2660.0,0.0,166.0,22838.0,70444
ZCTA5 70458,37140.0,,,14068.0,26.0,747.0,29378.0,70458
ZCTA5 70058,38334.0,,,14860.0,97.0,207.0,26712.0,70058
ZCTA5 70084,6436.0,,,2100.0,9.0,55.0,22326.0,70084
ZCTA5 70085,4611.0,,,1396.0,8.0,25.0,20956.0,70085
ZCTA5 70094,30445.0,,,8877.0,199.0,256.0,21249.0,70094
ZCTA5 70726,57241.0,,,23837.0,18.0,896.0,31566.0,70726
ZCTA5 70730,3881.0,,,1232.0,0.0,33.0,25261.0,70730
ZCTA5 70732,1378.0,,,341.0,3.0,34.0,20854.0,70732
ZCTA5 70736,471.0,,,89.0,0.0,0.0,20095.0,70736
ZCTA5 70737,43652.0,,,18987.0,6.0,695.0,38569.0,70737
ZCTA5 70755,1941.0,,,734.0,0.0,14.0,37574.0,70755
ZCTA5 70760,6487.0,,,2068.0,0.0,70.0,22664.0,70760
ZCTA5 70764,16461.0,,,5736.0,10.0,106.0,23548.0,70764
ZCTA5 70770,3441.0,,,1216.0,0.0,30.0,29242.0,70770
ZCTA5 70778,3749.0,,,1354.0,42.0,20.0,30143.0,70778
ZCTA5 70789,566.0,,,233.0,0.0,0.0,23060.0,70789
ZCTA5 70802,23968.0,,,7364.0,725.0,86.0,14900.0,70802
ZCTA5 70807,18253.0,,,5189.0,149.0,204.0,18577.0,70807
ZCTA5 70815,29672.0,,,11853.0,303.0,354.0,29752.0,70815
ZCTA5 70819,4721.0,,,1901.0,0.0,0.0,32000.0,70819
ZCTA5 70431,5735.0,,,1836.0,0.0,182.0,25657.0,70431
ZCTA5 70445,9954.0,,,3156.0,0.0,121.0,26223.0,70445
ZCTA5 70447,14825.0,,,6041.0,7.0,460.0,42003.0,70447
ZCTA5 70451,0.0,,,0.0,0.0,0.0,-666666666.0,70451
ZCTA5 70453,757.0,,,314.0,0.0,23.0,21483.0,70453
ZCTA5 70506,41480.0,,,19085.0,158.0,706.0,27659.0,70506
ZCTA5 70515,3536.0,,,809.0,0.0,15.0,18519.0,70515
ZCTA5 70643,187.0,,,83.0,0.0,0.0,-666666666.0,70643
ZCTA5 70806,29260.0,,,11336.0,403.0,611.0,27434.0,70806
ZCTA5 70820,19507.0,,,8149.0,136.0,162.0,17765.0,70820
ZCTA5 70558,0.0,,,0.0,0.0,0.0,-666666666.0,70558
ZCTA5 70712,3822.0,,,262.0,0.0,11.0,22605.0,70712
ZCTA5 70769,42887.0,,,18776.0,0.0,875.0,43840.0,70769
ZCTA5 70438,19009.0,,,5961.0,25.0,284.0,20729.0,70438
ZCTA5 70592,24829.0,,,10773.0,14.0,449.0,40518.0,70592
ZCTA5 70049,2053.0,,,781.0,10.0,0.0,20793.0,70049
ZCTA5 70057,4729.0,,,1633.0,0.0,30.0,35267.0,70057
ZCTA5 70080,1759.0,,,517.0,0.0,40.0,31383.0,70080
ZCTA5 70341,4023.0,,,1326.0,0.0,6.0,21098.0,70341
ZCTA5 70372,2931.0,,,1096.0,36.0,30.0,21985.0,70372
ZCTA5 70393,929.0,,,314.0,0.0,8.0,35313.0,70393
ZCTA5 70426,5867.0,,,1415.0,0.0,40.0,19271.0,70426
ZCTA5 70460,23465.0,,,8137.0,44.0,293.0,25657.0,70460
ZCTA5 70462,4907.0,,,1491.0,11.0,43.0,22257.0,70462
ZCTA5 70510,25897.0,,,8408.0,3.0,308.0,25619.0,70510
ZCTA5 70512,10109.0,,,3670.0,0.0,89.0,26515.0,70512
ZCTA5 70526,17989.0,,,5599.0,10.0,167.0,19783.0,70526
ZCTA5 70529,12500.0,,,4349.0,20.0,155.0,29005.0,70529
ZCTA5 70546,16878.0,,,5318.0,0.0,50.0,20597.0,70546
ZCTA5 70577,4105.0,,,1088.0,0.0,15.0,21637.0,70577
ZCTA5 70582,19546.0,,,7064.0,14.0,135.0,24236.0,70582
ZCTA5 70586,20276.0,,,6303.0,0.0,82.0,19046.0,70586
ZCTA5 70615,14230.0,,,4146.0,0.0,239.0,20352.0,70615
ZCTA5 70637,573.0,,,78.0,0.0,0.0,18807.0,70637
ZCTA5 70659,1628.0,,,592.0,11.0,0.0,25689.0,70659
ZCTA5 70706,23001.0,,,9180.0,12.0,286.0,34949.0,70706
ZCTA5 70541,346.0,,,127.0,0.0,16.0,16250.0,70541
ZCTA5 70517,27314.0,,,9240.0,60.0,315.0,23083.0,70517
ZCTA5 70523,788.0,,,360.0,0.0,3.0,31667.0,70523
ZCTA5 70532,2232.0,,,676.0,0.0,27.0,21591.0,70532
ZCTA5 70542,3633.0,,,1106.0,8.0,99.0,29167.0,70542
ZCTA5 70550,55.0,,,0.0,0.0,0.0,-666666666.0,70550
ZCTA5 70576,1128.0,,,221.0,0.0,0.0,25655.0,70576
ZCTA5 70607,27268.0,,,10492.0,39.0,390.0,23619.0,70607
ZCTA5 70640,291.0,,,75.0,0.0,1.0,15938.0,70640
ZCTA5 70647,9353.0,,,3424.0,0.0,111.0,27343.0,70647
ZCTA5 70725,1719.0,,,501.0,0.0,0.0,18032.0,70725
ZCTA5 70767,15708.0,,,6264.0,31.0,96.0,30643.0,70767
ZCTA5 70818,9466.0,,,3611.0,12.0,128.0,35376.0,70818
ZCTA5 70139,0.0,,,0.0,0.0,0.0,-666666666.0,70139
ZCTA5 70340,19.0,,,0.0,0.0,0.0,-666666666.0,70340
ZCTA5 70352,165.0,,,102.0,0.0,0.0,34444.0,70352
ZCTA5 70402,1904.0,,,287.0,0.0,0.0,4003.0,70402
ZCTA5 70519,293.0,,,64.0,0.0,0.0,34290.0,70519
ZCTA5 70575,111.0,,,34.0,0.0,0.0,23214.0,70575
ZCTA5 70803,729.0,,,82.0,15.0,0.0,4653.0,70803
ZCTA5 71725,605.0,,,211.0,1.0,3.0,25119.0,71725
ZCTA5 71730,30995.0,,,11473.0,24.0,136.0,25235.0,71730
ZCTA5 71751,1186.0,,,422.0,0.0,0.0,26408.0,71751
ZCTA5 71762,2189.0,,,748.0,0.0,42.0,21415.0,71762
ZCTA5 71820,74.0,,,24.0,0.0,0.0,-666666666.0,71820
ZCTA5 71825,727.0,,,289.0,0.0,1.0,40000.0,71825
ZCTA5 71826,1227.0,,,295.0,7.0,66.0,21750.0,71826
ZCTA5 71841,1026.0,,,299.0,0.0,25.0,22500.0,71841
ZCTA5 71842,2197.0,,,613.0,0.0,8.0,23363.0,71842
